error_dataIDs,error_urls
3974108,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3974108
3974307,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3974307
3974826,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3974826
4003703,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4003703
3410189,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3410189
3931508,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3931508
3969837,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3969837
3969838,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3969838
3970827,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3970827
3970828,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3970828
3970829,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3970829
3970830,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3970830
