Title,Content Type,Application Name,Application Short Name,Application Filing Date,Company Name,Commodity,File Name,ESA Folder URL,Document Number,Data ID,PDF Download URL,Application Type,Pipeline Location,Hearing Order,Consultant Name,Pipeline Status,Regulatory Instrument(s),Application URL,Decision URL,ESA Section(s),ESA Section(s) Index,Topics,PDF Page Number,PDF Page Count,PDF Size (bytes),Outline Present
Alignment Sheet 4159893 199,Alignment Sheet,Application for the Sinclair Pipeline Project,Sinclair,10/19/2021,Steel Reef Pipelines Canada Corp.,Gas,C15521-8 Environmental and Socio-Economic Assessment - Part 2 - A7X5R0,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4159888,A7X5R0,4159893,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4159893,Small Projects (under 40 km),"Saskatchewan, Manitoba",,Steel Reef Pipelines Canada Corp.,Approved,XG-006-2022,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4157796,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4246777,Appendix 1A Pipeline Environmental Protection Plan,,"['Human', 'Environment Protection Plan']",199,208,9606854,1
Alignment Sheet 4159893 200,Alignment Sheet,Application for the Sinclair Pipeline Project,Sinclair,10/19/2021,Steel Reef Pipelines Canada Corp.,Gas,C15521-8 Environmental and Socio-Economic Assessment - Part 2 - A7X5R0,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4159888,A7X5R0,4159893,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4159893,Small Projects (under 40 km),"Saskatchewan, Manitoba",,Steel Reef Pipelines Canada Corp.,Approved,XG-006-2022,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4157796,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4246777,Appendix 1A Pipeline Environmental Protection Plan,,"['Human', 'Environment Protection Plan']",200,208,9606854,1
Alignment Sheet 4159893 201,Alignment Sheet,Application for the Sinclair Pipeline Project,Sinclair,10/19/2021,Steel Reef Pipelines Canada Corp.,Gas,C15521-8 Environmental and Socio-Economic Assessment - Part 2 - A7X5R0,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4159888,A7X5R0,4159893,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4159893,Small Projects (under 40 km),"Saskatchewan, Manitoba",,Steel Reef Pipelines Canada Corp.,Approved,XG-006-2022,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4157796,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4246777,Appendix 1A Pipeline Environmental Protection Plan,,"['Human', 'Environment Protection Plan']",201,208,9606854,1
Alignment Sheet 4159893 202,Alignment Sheet,Application for the Sinclair Pipeline Project,Sinclair,10/19/2021,Steel Reef Pipelines Canada Corp.,Gas,C15521-8 Environmental and Socio-Economic Assessment - Part 2 - A7X5R0,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4159888,A7X5R0,4159893,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4159893,Small Projects (under 40 km),"Saskatchewan, Manitoba",,Steel Reef Pipelines Canada Corp.,Approved,XG-006-2022,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4157796,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4246777,Appendix 1A Pipeline Environmental Protection Plan,,"['Human', 'Environment Protection Plan']",202,208,9606854,1
Alignment Sheet 4159893 203,Alignment Sheet,Application for the Sinclair Pipeline Project,Sinclair,10/19/2021,Steel Reef Pipelines Canada Corp.,Gas,C15521-8 Environmental and Socio-Economic Assessment - Part 2 - A7X5R0,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4159888,A7X5R0,4159893,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4159893,Small Projects (under 40 km),"Saskatchewan, Manitoba",,Steel Reef Pipelines Canada Corp.,Approved,XG-006-2022,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4157796,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4246777,Appendix 1A Pipeline Environmental Protection Plan,,"['Human', 'Environment Protection Plan']",203,208,9606854,1
Alignment Sheet 4159893 204,Alignment Sheet,Application for the Sinclair Pipeline Project,Sinclair,10/19/2021,Steel Reef Pipelines Canada Corp.,Gas,C15521-8 Environmental and Socio-Economic Assessment - Part 2 - A7X5R0,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4159888,A7X5R0,4159893,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4159893,Small Projects (under 40 km),"Saskatchewan, Manitoba",,Steel Reef Pipelines Canada Corp.,Approved,XG-006-2022,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4157796,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4246777,Appendix 1A Pipeline Environmental Protection Plan,,"['Human', 'Environment Protection Plan']",204,208,9606854,1
Alignment Sheet 4159893 205,Alignment Sheet,Application for the Sinclair Pipeline Project,Sinclair,10/19/2021,Steel Reef Pipelines Canada Corp.,Gas,C15521-8 Environmental and Socio-Economic Assessment - Part 2 - A7X5R0,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4159888,A7X5R0,4159893,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4159893,Small Projects (under 40 km),"Saskatchewan, Manitoba",,Steel Reef Pipelines Canada Corp.,Approved,XG-006-2022,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4157796,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4246777,Appendix 1A Pipeline Environmental Protection Plan,,"['Human', 'Environment Protection Plan']",205,208,9606854,1
Alignment Sheet 4159893 206,Alignment Sheet,Application for the Sinclair Pipeline Project,Sinclair,10/19/2021,Steel Reef Pipelines Canada Corp.,Gas,C15521-8 Environmental and Socio-Economic Assessment - Part 2 - A7X5R0,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4159888,A7X5R0,4159893,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4159893,Small Projects (under 40 km),"Saskatchewan, Manitoba",,Steel Reef Pipelines Canada Corp.,Approved,XG-006-2022,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4157796,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4246777,Appendix 1A Pipeline Environmental Protection Plan,,"['Human', 'Environment Protection Plan']",206,208,9606854,1
Alignment Sheet 4159893 207,Alignment Sheet,Application for the Sinclair Pipeline Project,Sinclair,10/19/2021,Steel Reef Pipelines Canada Corp.,Gas,C15521-8 Environmental and Socio-Economic Assessment - Part 2 - A7X5R0,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4159888,A7X5R0,4159893,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4159893,Small Projects (under 40 km),"Saskatchewan, Manitoba",,Steel Reef Pipelines Canada Corp.,Approved,XG-006-2022,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4157796,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4246777,Appendix 1A Pipeline Environmental Protection Plan,,"['Human', 'Environment Protection Plan']",207,208,9606854,1
Alignment Sheet 4159893 208,Alignment Sheet,Application for the Sinclair Pipeline Project,Sinclair,10/19/2021,Steel Reef Pipelines Canada Corp.,Gas,C15521-8 Environmental and Socio-Economic Assessment - Part 2 - A7X5R0,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4159888,A7X5R0,4159893,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4159893,Small Projects (under 40 km),"Saskatchewan, Manitoba",,Steel Reef Pipelines Canada Corp.,Approved,XG-006-2022,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4157796,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4246777,Appendix 1A Pipeline Environmental Protection Plan,,"['Human', 'Environment Protection Plan']",208,208,9606854,1
