Application Short Name,pdf_count_all,pdf_count_table_fig,pdf_count_table
2017 NGTL System Expansion,50.0,46,36
2021 NGTL System Expansion,10.0,8,8
Albersun Pipeline Asset Purchase,1.0,1,1
Alberta Clipper,30.0,16,14
Bakken,50.0,30,25
Brunswick,2.0,1,1
Cushing,7.0,6,3
Deep Panuke Abandonment,1.0,1,1
Eastern Mainline,36.0,10,9
Edmonton to Hardisty,35.0,18,17
Edson Mainline,15.0,13,13
Ekwan,18.0,12,11
Energy East,448.0,274,265
Goldboro Abandonment,1.0,1,1
Groundbirch,14.0,10,10
Horn River,47.0,21,19
Keystone XL,48.0,21,19
Komie North,21.0,17,17
Leismer to Kettle River Crossover,10.0,8,8
Line 3,81.0,35,33
Line 4,4.0,4,4
Line 9,2.0,1,1
Mackenzie Gas,25.0,20,19
North Corridor,9.0,9,9
North Montney,49.0,18,18
Northern Gateway,29.0,29,26
Northwest Mainline,26.0,21,20
Redwillow,40.0,29,26
South Peace,16.0,12,11
Southern Lights,25.0,18,13
Spruce Ridge,28.0,18,18
Towerbirch,27.0,12,12
Trans Mountain Expansion,538.0,113,87
Vantage,108.0,48,38
West Path Delivery ,9.0,6,6
Wolverine River Lateral Loop,28.0,12,12
Wyndwood,14.0,10,10
Keystone,,19,19
